ResponseId,Q8_1Fa_1,Q8_2Kn_1,Q9_1Ge,Q9_2Age,Q9_3Em,Q9_5Ch,Q9_6Ed,Q9_7In,Q9_8He,Q9_9Po,region
R_6eK6dYn3e4iFlGt,3,2,Female,1996,Working part-time,2,Master's degree,"Less than $25,000 per year",Bad,60630,Midwest
R_6PAMCi10s3wxg3x,5,4,Male,1995,Working full-time,2,Ph.D.,"$125,000 - $190,000 per year",Good,,
R_6WCzn9UNtn9yc01,4,4,Female,1969,Working full-time,1,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,75040,South
R_7hLOoZMHppgxOG5,5,5,Female,1974,Other,1,Master's degree,"$125,000 - $190,000 per year",Very good,23456,South
R_6XKZRTQbM8WbKkV,1,1,Male,1982,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,92883,West
R_7Uk5SuXewZgaJjP,2,2,Female,2002,Student,0,Bachelor’s degree,"$75,000 - $99,999 per year",Good,02145,Northeast
R_5Qll8wPXn36mflA,1,1,Male,1995,Working full-time,0,Secondary school,"$25,000 - $49,999 per year",Very good,01906,Northeast
R_5QLvxE5PsThM1rm,3,2,Male,1979,Working full-time,2,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,08902,Northeast
R_5WCNc08vhk2WHsz,4,4,Female,2000,Student,0,Bachelor’s degree,"Less than $25,000 per year",Very good,,
R_1JO91wNjBxl18at,5,2,Female,1961,Other,0,Vocational or similar,"$25,000 - $49,999 per year",Very good,33442,South
R_51LYGlDVFwmBPew,2,2,Female,1991,Working full-time,2,Bachelor’s degree,"More than $190,000 per year",Very good,46077,Midwest
R_1P6gmAh1yGrVRyJ,4,3,Male,1993,Working full-time,0,Master's degree,"$45,000 - $74,999 per year",Good,32210,South
R_1hmwSmfBJD2uUrn,1,1,Female,1985,Working full-time,2,Secondary school,"$25,000 - $49,999 per year",Very good,74106,South
R_1Pt45gVgllJ0D3e,2,3,Female,1980,Working part-time,1,Secondary school,"$45,000 - $74,999 per year",Moderate ,47164,Midwest
R_6cnDu71dCJSak7v,4,4,Male,1998,Working part-time,0,Bachelor’s degree,"More than $190,000 per year",Very good,92101,West
R_69ebw9FqFLmxJFT,4,5,Male,1990,Working part-time,2,Bachelor’s degree,"$45,000 - $74,999 per year",Moderate ,19709,South
R_7ATbht1WmRFsrvj,5,5,Female,1975,Working full-time,1,Master's degree,"$100,000 - $124,999 per year",Very good,92570,West
R_7GdgPb3y18NKfwh,2,1,Female,1985,Working part-time,2,Vocational or similar,"$45,000 - $74,999 per year",Moderate ,93312,West
R_3GZC4xTbw1EjYR0,2,1,Male,2003,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,,
R_7qUicmuVxoNqvVn,2,3,Male,1999,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Moderate ,98121,West
R_1wc3M8jyIL1PL3G,1,1,Male,1950,Retired,0,Master's degree,"$45,000 - $74,999 per year",Good,32082,South
R_3GyP56qlsumDlyp,1,1,Male,1998,Working part-time,0,Bachelor’s degree,"Less than $25,000 per year",Good,78701,South
R_5YldLlRaiI9dTSM,2,2,Male,2000,Working part-time,1,Bachelor’s degree,"$125,000 - $190,000 per year",Good,90028,West
R_6R4SCKxcHB0F5Aw,1,2,Female,1993,Working full-time,2,Bachelor’s degree,"$125,000 - $190,000 per year",Good,95303,West
R_3SpqmYTEA4FFAtP,7,6,Female,1979,Unemployed and looking for work,0,Secondary school,"$25,000 - $49,999 per year",Good,36075,South
R_7HqMCsGCntSHp26,2,2,Male,1945,Working part-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Moderate ,33406,South
R_5MhsycgAkiAAOZz,1,1,Male,1957,Retired,0,Vocational or similar,"$75,000 - $99,999 per year",Good,75060,South
R_3vhTnduq0Nl9LyC,4,2,Male,1956,Retired,0,Secondary school,"$75,000 - $99,999 per year",Good,34609,South
R_3fxyZDGNPRny34Y,5,5,Female,1999,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,75034,South
R_14IQh7WrnXXlC7T,4,3,Female,1998,Working full-time,0,Master's degree,"$100,000 - $124,999 per year",Very good,95131,West
R_3QJWfNq3mlCgxMu,6,5,Female,2000,Unemployed and looking for work,0,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,75270,South
R_6yqrAaK7UCdhZ5u,3,2,Male,1947,Working part-time,0,Ph.D.,"$75,000 - $99,999 per year",Moderate ,32577,South
R_3aFS6j3n7Sywjk8,5,5,Male,1992,Working full-time,2,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,,
R_3WSBCu4aTQChYvx,1,1,Female,1974,Working full-time,0,Secondary school,"$25,000 - $49,999 per year",Very good,.30310,South
R_8q833o80U6w1ehB,4,3,Female,2002,Student,1,Bachelor’s degree,"$45,000 - $74,999 per year",Good,73072,South
R_7d79kydTzc59Ci8,2,1,Female,1975,Working part-time,0,Vocational or similar,"Less than $25,000 per year",Moderate ,44240,Midwest
R_60JhznVJQyLZ4TX,4,4,Male,1977,Working full-time,0,Bachelor’s degree,"More than $190,000 per year",Very good,46321,Midwest
R_7LxDRRvLzdKp2fL,3,2,Male,1959,Working part-time,0,Master's degree,"$75,000 - $99,999 per year",Very good,53189,Midwest
R_6DSToD0Se8irUlm,4,2,Female,1983,Working full-time,1,Primary school,"$45,000 - $74,999 per year",Very good,,
R_1xSl7tKJWoTGlcR,5,5,Male,1963,Working full-time,0,Vocational or similar,"Less than $25,000 per year",Very good,55405,Midwest
R_6V3JrWCblRnkBrh,3,3,Female,1987,Working full-time,2,Bachelor’s degree,"$100,000 - $124,999 per year",Good,32225,South
R_7eqvkjmFy3B9tNR,5,4,Male,1983,Working full-time,2,Bachelor’s degree,"$25,000 - $49,999 per year",Good,93453,West
R_3AjlkYeLUgzdSmt,2,2,Female,1961,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,32751,South
R_3pVIc8nt9jUASoF,3,2,Female,1989,Working part-time,1,Bachelor’s degree,"Less than $25,000 per year",Good,21703,South
R_3PUgLnx8yXzM6YH,5,5,Male,1982,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Good,94025,West
R_1iEWhdTQcGSDiFh,5,5,Male,1987,Working full-time,0,Secondary school,"$45,000 - $74,999 per year",Good,53704,Midwest
R_7pOegfUXPR49pHH,5,4,Male,1991,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,18252,Northeast
R_1bIRujGHunXIsGz,2,3,Female,1991,Working full-time,2,Secondary school,"$25,000 - $49,999 per year",Moderate ,63390,Midwest
R_6RsHyhlRBxrThX9,3,2,Female,1953,Retired,0,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,38117,South
R_7GxMSgO8dnwXYlK,4,5,Female,2003,Working part-time,0,Secondary school,"$25,000 - $49,999 per year",Bad,40210,South
R_23dMHGvc1b2TH6q,5,5,Male,1994,Working part-time,0,Master's degree,"$125,000 - $190,000 per year",Very good,10118,Northeast
R_665tYUkNUAL4mb2,3,3,Male,1992,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,32901,South
R_6NmHkkVEuceqIAa,1,1,Female,1944,Retired,0,Bachelor’s degree,"$25,000 - $49,999 per year",Good,37938,South
R_6CrHF48mYQgVN65,4,3,Female,1990,Working full-time,3,Bachelor’s degree,"$125,000 - $190,000 per year",Good,20147,South
R_7xPicICq91ZKDzC,1,1,Female,1953,A homemaker or stay-at-home parent,0,Secondary school,"$25,000 - $49,999 per year",Very good,15613,Northeast
R_5eyHrBpsIRhSlga,2,2,Female,1957,Retired,0,Vocational or similar,"$45,000 - $74,999 per year",Good,75946,South
R_7HozcZHcGrS2VFn,2,1,Female,1961,Working full-time,0,Bachelor’s degree,Prefer not to say,Very good,,
R_5f3wzd9ZJ7plgzf,2,1,Male,2000,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,85281,West
R_1p9cGQFJycc3KW1,1,1,Male,1957,Working full-time,0,Bachelor’s degree,"More than $190,000 per year",Very good,68114,Midwest
R_59jB06sCGEMs7EB,1,4,Male,1990,Unemployed and looking for work,0,Primary school,"Less than $25,000 per year",Good,89110,West
R_5v7wSSqI0zUc264,3,3,Female,1995,Working full-time,1,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,77072,South
R_53YmNdo0adKoIVj,1,1,Male,1992,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,30309,South
R_1D7AB4jyJjyAFRn,3,2,Female,1988,A homemaker or stay-at-home parent,1,Bachelor’s degree,"$75,000 - $99,999 per year",Moderate ,30016,South
R_7jePo6gvKFJSvZv,5,5,Male,2000,Working full-time,1,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,10018,Northeast
R_5R2hCvrsksQAfR1,4,4,Male,1992,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,30318,South
R_1LO30jSOHi3M7Tl,4,5,Male,2000,Working full-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,55421,Midwest
R_50Zq0hK1Usem0a7,5,4,Female,2000,Working full-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,,
R_1q11hWDERTtcdmV,3,2,Female,1952,Retired,0,Master's degree,"$125,000 - $190,000 per year",Very good,19968,South
R_1ROL4m2WMlgKHH8,4,2,Female,1970,Working full-time,1,Ph.D.,"More than $190,000 per year",Very good,,
R_3rHeTYB6QqvJLNj,4,4,Male,1993,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,60647,Midwest
R_6lk6seLp5iZj5rX,3,3,Male,1983,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,77060,South
R_1BbL1kAatenkvuM,4,3,Male,1995,Working full-time,2,Ph.D.,"$125,000 - $190,000 per year",Very good,,
R_1PUDNJmu4ul2oCQ,2,2,Male,1995,Working full-time,0,Master's degree,"$75,000 - $99,999 per year",Very good,90029,West
R_65aSkMPoqCKaEDL,5,5,Male,1977,Working full-time,2,Master's degree,"$125,000 - $190,000 per year",Very good,21234,South
R_7v0vZZhj3dcNWO1,6,4,Female,1969,Working part-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Good,28277,South
R_3mdRITMVIQnms2N,3,4,Male,2002,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Moderate ,,
R_7D77ba6E5ZX2aJj,5,4,Male,1994,Working full-time,3,Bachelor’s degree,"$125,000 - $190,000 per year",Moderate ,11743,Northeast
R_6qpz8kZLW83HCIU,2,2,Male,1984,Working full-time,0,Secondary school,"$25,000 - $49,999 per year",Moderate ,92078,West
R_3D5lJHP000iLLjN,2,2,Female,1995,Working full-time,0,Vocational or similar,"$100,000 - $124,999 per year",Bad,21015,South
R_6wnlDyZVW0P102o,3,5,Female,1999,Working full-time,1,Master's degree,"$125,000 - $190,000 per year",Moderate ,92103,West
R_7M3CX5B0Itu68Nh,1,1,Female,1992,Working part-time,0,Master's degree,"$45,000 - $74,999 per year",Moderate ,19104,Northeast
R_5KBlLU15f6I9gOS,1,1,Male,2001,Unemployed and looking for work,0,Secondary school,"Less than $25,000 per year",Bad,90280,West
R_74MD4oYQswF4CmR,3,3,Female,1991,Working full-time,0,Master's degree,"$75,000 - $99,999 per year",Good,,
R_1khKt4kCszD3uxJ,1,1,Female,1964,Working full-time,0,Vocational or similar,"$75,000 - $99,999 per year",Good,29832,South
R_3I5HtBBVibsA3W1,1,1,Male,1995,Working full-time,0,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,77043,South
R_1g7wbAk2p64yq5b,6,5,Female,1995,A homemaker or stay-at-home parent,1,Vocational or similar,"$75,000 - $99,999 per year",Good,,
R_6HCyBwIMqnv4SKB,4,3,Female,1958,Working part-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,41015 ,South
R_4wF6ahdhtcuGAM6,1,2,Male,1992,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Moderate ,07601,Northeast
R_62LwnAKZVIELqNB,2,2,Male,1951,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,38122,South
R_774zqG4ZzF60NGx,4,4,Male,1999,Working part-time,3,Secondary school,"$75,000 - $99,999 per year",Good,10003,Northeast
R_58Gt3Emi2p36SWS,4,2,Male,1963,Working full-time,0,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,11207,Northeast
R_1F0zsm3gXd7zOOR,1,1,Male,1963,Working full-time,0,Bachelor’s degree,"More than $190,000 per year",Good,85255,West
R_35iaHuF3YfEnVhD,3,2,Female,1963,Retired,0,Bachelor’s degree,"$100,000 - $124,999 per year",Moderate ,92240,West
R_6UYka0A1hi8J0aY,1,1,Male,1981,Other,0,Vocational or similar,"$45,000 - $74,999 per year",Bad,48006,Midwest
R_6CIA33aCleh9QIJ,1,1,Male,1962,Working full-time,0,Bachelor’s degree,"Less than $25,000 per year",Bad,30577,South
R_1eKQ8AkXefiGgiU,3,2,Female,2001,Working full-time,0,Secondary school,"Less than $25,000 per year",Moderate ,,
R_53sepk3wXIZaLcu,2,2,Female,1993,Working full-time,0,Bachelor’s degree,"More than $190,000 per year",Good,28729,South
R_6xxGsVzEAhqayDu,2,2,Male,1999,Unemployed and looking for work,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,60609,Midwest
R_7VuH6NE2VulbN9D,3,3,Male,1985,Working full-time,1,Master's degree,"$75,000 - $99,999 per year",Good,70122,South
R_7AwrSnnBYkcZgHf,3,3,Female,1984,Working full-time,2,Ph.D.,"More than $190,000 per year",Good,03885,Northeast
R_12JdkdGsGotai5k,1,1,Female,1972,Working full-time,0,Vocational or similar,"$125,000 - $190,000 per year",Good,,
R_7MPXKEHJ9II2JCK,4,4,Female,1983,Working full-time,2,Bachelor’s degree,"$125,000 - $190,000 per year",Good,07044,Northeast
R_6LNwBoDoMREoWHv,3,3,Male,1992,Working full-time,3,Bachelor’s degree,"$125,000 - $190,000 per year",Good,10031,Northeast
R_71hryBjvcTSVq1n,5,4,Male,1974,Working part-time,0,Bachelor’s degree,"Less than $25,000 per year",Very good,76543,South
R_6L0ycT5U50Ju6tr,2,2,Female,1962,Retired,0,Secondary school,"$100,000 - $124,999 per year",Good,45424,Midwest
R_5PiTwGhy6YhkhD1,2,2,Male,1994,Unemployed and looking for work,0,Vocational or similar,"$25,000 - $49,999 per year",Good,11223,Northeast
R_3eVlE9kx54OqhEd,5,3,Male,1962,Working part-time,0,Secondary school,"$45,000 - $74,999 per year",Good,33138,South
R_6ml3ZteR0dXMu1L,1,1,Male,1998,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Good,10005,Northeast
R_5R4rdpl6gRSI6LY,1,1,Female,1963,A homemaker or stay-at-home parent,0,Secondary school,"$75,000 - $99,999 per year",Good,29053,South
R_1lMIIFvbp1WjODs,5,4,Male,1990,Working full-time,2,Ph.D.,"$125,000 - $190,000 per year",Very good,,
R_7Ov4z62o0ofvCSE,1,1,Male,1953,Working full-time,0,Secondary school,"Less than $25,000 per year",Good,98115,West
R_1c5ZWLko6MpKGlP,1,1,Female,1972,Working full-time,1,Master's degree,"$75,000 - $99,999 per year",Moderate ,23454,South
R_5eFYRFtOqBlBzcl,1,1,Female,1958,Retired,0,Vocational or similar,"Less than $25,000 per year",Moderate ,01001,Northeast
R_1sDyXAoP59IYwvf,5,4,Female,1961,Working part-time,0,Vocational or similar,"Less than $25,000 per year",Very good,24311,South
R_7rvjBov1XjLrsxZ,2,1,Female,1952,Retired,0,Secondary school,"$25,000 - $49,999 per year",Good,33406,South
R_6NI2wIVuSYEdxz0,3,2,Male,1994,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,60642,Midwest
R_5XceXJXk0iqHWaR,5,4,Female,1983,Working full-time,1,Vocational or similar,"$100,000 - $124,999 per year",Very good,89011,West
R_5eaNQjFGauQ1fbE,1,1,Male,1987,Working full-time,2,Bachelor’s degree,"$100,000 - $124,999 per year",Good,63141,Midwest
R_3h9CoGPEIO4qLwo,2,1,Female,1998,Working part-time,1,Vocational or similar,"Less than $25,000 per year",Moderate ,92503,West
R_1Kpi9XpQZw9DtLz,4,4,Male,1994,Working full-time,1,Bachelor’s degree,"$75,000 - $99,999 per year",Good,22192,South
R_7mICS8Eh1T9xCgu,2,2,Female,1989,A homemaker or stay-at-home parent,0,Bachelor’s degree,"More than $190,000 per year",Good,30101,South
R_5hAUdcdDHlETRU8,5,5,Male,1996,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Good,,
R_52Dd4CfBkJL1FvE,3,3,Male,1983,Working full-time,3,Master's degree,"$125,000 - $190,000 per year",Very good,,
R_7KPziFrY2FlEvYL,4,3,Female,1976,Working full-time,2,Master's degree,"$125,000 - $190,000 per year",Moderate ,33411,South
R_3dZjkn747coMPRZ,4,4,Male,1965,Working full-time,2,Bachelor’s degree,"$45,000 - $74,999 per year",Good,70820,South
R_5PpVYV2R59TkrV1,1,1,Female,1959,Retired,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,02766,Northeast
R_7wNPHRk3N7upxzo,2,1,Female,2004,Student,0,Secondary school,"$125,000 - $190,000 per year",Good,,
R_1nNt0YbdmaZ9fd1,3,3,Female,2004,Student,0,Vocational or similar,"$25,000 - $49,999 per year",Bad,,
R_7Q4qfDK2h9YXhLu,2,1,Male,1955,Retired,1,Vocational or similar,"$75,000 - $99,999 per year",Bad,53403,Midwest
R_7Pjeg1ZfNpTUUaw,5,5,Male,1984,Working full-time,1,Master's degree,"$45,000 - $74,999 per year",Moderate ,34287,South
R_6BaWYD1Es9rSmqd,2,1,Male,1971,Working full-time,0,Vocational or similar,"$125,000 - $190,000 per year",Moderate ,15237,Northeast
R_5ocq6l0X1xWf7Dj,6,5,Male,1962,Retired,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,85747,West
R_6nugRRGuRRGMmJ0,3,1,Male,1958,Retired,0,Bachelor’s degree,"Less than $25,000 per year",Good,34221,South
R_776ifkRDnBFgIG5,2,2,Female,1999,A homemaker or stay-at-home parent,2,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,76010,South
R_5OyIx2edfZcTCSZ,4,4,Female,1997,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Moderate ,98121,West
R_17llboVR0cS0XqY,1,1,Female,1976,A homemaker or stay-at-home parent,1,Vocational or similar,"More than $190,000 per year",Very good,78732,South
R_3p3ZKyEfGjCpwo9,5,5,Male,1954,Retired,0,Secondary school,"$45,000 - $74,999 per year",Very good,75135,South
R_3DkciEtQ9MvaZfc,2,3,Male,1959,Retired,0,Ph.D.,"$125,000 - $190,000 per year",Very good,30276,South
R_1dqvYbCFVVi0SB3,3,2,Female,1962,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,52761,Midwest
R_1qnrzBXvv3DaRrP,3,3,Female,1961,Retired,0,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,89403,West
R_7cd42kkydw60AJ9,4,5,Male,1994,Working part-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,27401,South
R_1cvmpqZGdQpgxzM,2,2,Male,1962,Working full-time,0,Bachelor’s degree,"More than $190,000 per year",Good,32257,South
R_1gIRLKa7ChmFhFm,3,2,Male,1962,Working full-time,0,Vocational or similar,"$125,000 - $190,000 per year",Very good,27312,South
R_3Ndch5EtvvGwLQZ,3,2,Female,1988,Working full-time,1,Bachelor’s degree,"$125,000 - $190,000 per year",Moderate ,97123,West
R_7dFR85B7oYuKUpI,2,3,Male,1984,Working part-time,1,Vocational or similar,"Less than $25,000 per year",Good,,
R_1vcCweorxR3dmxY,2,2,Male,2004,Working part-time,0,Secondary school,"Less than $25,000 per year",Good,47905,Midwest
R_5xWUCDBkiLqwRLk,6,5,Female,1988,Working part-time,1,Secondary school,"$125,000 - $190,000 per year",Very good,33761,South
R_30MPt9Sqjlmc3nm,4,4,Female,1996,Working full-time,0,Master's degree,"$100,000 - $124,999 per year",Good,07307,Northeast
R_6IFek84ba8jpDr3,3,3,Female,1994,Working full-time,3,Master's degree,"$75,000 - $99,999 per year",Very good,32034,South
R_6zOtknQT8tmlBYg,2,2,Female,1960,Retired,0,Vocational or similar,"Less than $25,000 per year",Good,72112,South
R_3fUBfE9899aVjuH,1,1,Female,1991,Working part-time,3,Secondary school,"$75,000 - $99,999 per year",Good,78550,South
R_3d3IcG8SSqNDiuE,1,1,Female,1992,Working full-time,0,Master's degree,"$125,000 - $190,000 per year",Good,64108,Midwest
R_7pS6puz4W6Aj8Qw,7,6,Male,1992,Working part-time,0,Vocational or similar,"$45,000 - $74,999 per year",Very good,92805,West
R_5fyNVzfkFNOsuvT,2,3,Male,1981,Unemployed and looking for work,1,Primary school,"$25,000 - $49,999 per year",Moderate ,06410,Northeast
R_3537o4XS7EtqBhv,6,4,Female,1989,Working full-time,0,Master's degree,"$125,000 - $190,000 per year",Very good,92243,West
R_7GoDFhNzX3raHex,5,5,Male,1953,Retired,0,Master's degree,"$75,000 - $99,999 per year",Good,27406,South
R_7HjWlmcx78DwoXn,1,3,Female,2001,Unemployed and looking for work,0,Bachelor’s degree,"$75,000 - $99,999 per year",Good,85756,West
R_3D7wj1Y9zjQ0lro,4,3,Male,1986,Working part-time,0,Secondary school,"$45,000 - $74,999 per year",Good,78233,South
R_6yorjDrbVi0DsMV,2,4,Female,1959,Retired,0,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,89122,West
R_1pbUPaG91aidl8v,3,3,Male,1992,Working full-time,1,Master's degree,"$45,000 - $74,999 per year",Very good,19006,Northeast
R_3cSn10LtuxZr88T,3,1,Male,1956,Retired,0,Secondary school,"Less than $25,000 per year",Moderate ,06514,Northeast
R_5IkSON5ohRaM7Id,4,4,Female,2002,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,75024,South
R_4XO1U3Zi4zoNGKJ,2,1,Male,1994,Working part-time,0,Secondary school,"$25,000 - $49,999 per year",Moderate ,32809,South
R_3TKJmyRjo2DdJRQ,2,1,Male,1990,Unemployed and looking for work,0,Bachelor’s degree,"$45,000 - $74,999 per year",Moderate ,90065,West
R_52LnDPJaUFzqutL,4,2,Female,1960,Working full-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Good,27295,South
R_7jcISW1Ktg2cMoI,1,1,Female,1964,Unemployed and looking for work,0,Secondary school,"$25,000 - $49,999 per year",Good,36522,South
R_6fxEwbAqR84udEt,3,1,Female,2001,Working full-time,0,Secondary school,"$45,000 - $74,999 per year",Moderate ,11434,Northeast
R_5TmGx79yOFqabtj,5,3,Female,1962,Working full-time,0,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,32224,South
R_3BmuTV2OaOQOK9n,2,2,Female,1959,Retired,0,Ph.D.,"$75,000 - $99,999 per year",Good,19446,Northeast
R_3TvNf6229wkxYDY,1,1,Female,1991,Working full-time,2,Vocational or similar,"$25,000 - $49,999 per year",Moderate ,02893,Northeast
R_5pRm5e95NGBccJt,3,3,Female,1990,Working full-time,2,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,,
R_3t0dbsu0FU7aSAm,5,4,Female,1984,Working full-time,0,Secondary school,"$100,000 - $124,999 per year",Very good,44410,Midwest
R_3UNBlQKIVCCAaaZ,6,5,Male,1977,Working full-time,1,Bachelor’s degree,"$100,000 - $124,999 per year",Very good,19018,Northeast
R_3gymwJIBp9FOZwZ,2,2,Male,1990,Unemployed and looking for work,0,Secondary school,"$45,000 - $74,999 per year",Good,,
R_5qy0Xo7ALXVLD3n,3,2,Female,1984,A homemaker or stay-at-home parent,2,Bachelor’s degree,"$75,000 - $99,999 per year",Good,28390,South
R_1f9UsIPjm1q3cFb,5,4,Female,1963,Retired,0,Vocational or similar,"$75,000 - $99,999 per year",Good,50644,Midwest
R_5HoSfmteSN3SMAV,4,2,Female,1975,A homemaker or stay-at-home parent,2,Bachelor’s degree,"$100,000 - $124,999 per year",Very good,92223,West
R_7pPXhJxKRBN9S9Z,1,1,Male,1955,Retired,0,Vocational or similar,"$25,000 - $49,999 per year",Good,75442,South
R_3AdpsqNTGGNdKyR,1,1,Male,1955,Retired,0,Bachelor’s degree,"$75,000 - $99,999 per year",Good,08857,Northeast
R_3jSk2lqpU8HlaN3,4,4,Female,1976,A homemaker or stay-at-home parent,3,Bachelor’s degree,"More than $190,000 per year",Good,55108,Midwest
R_3PdgsxwriEIC4gh,1,5,Male,1998,Working part-time,0,Secondary school,"Less than $25,000 per year",Bad,78721,South
