ResponseId,R1_Drinking water from plastic bottles that contain Bisphenol A (BPA),R1_Eating food with phthalates transferred from plastic packaging,R1_Taking pharmaceutical products that contain parabens used as preservatives,R1_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R1_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R1_Eating fruits and vegetables treated with pesticides,R1_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R1_Using deodorants with phthalates in their fragrance,R1_Using sunscreens that contain parabens as preservatives,R1_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R1_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R1_Using insect repellents with pesticides on the skin,R1_Breathing in Bisphenol A (BPA) particles from indoor dust,R1_Breathing air containing phthalates from indoor air fresheners,R1_Breathing in paraben particles from indoor dust,R1_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R1_Breathing in brominated flame retardants (BFRs) released from electronic devices,R1_Breathing air containing pesticides that have migrated from landfills,R2_Drinking water from plastic bottles that contain Bisphenol A (BPA),R2_Eating food with phthalates transferred from plastic packaging,R2_Taking pharmaceutical products that contain parabens used as preservatives,R2_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R2_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R2_Eating fruits and vegetables treated with pesticides,R2_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R2_Using deodorants with phthalates in their fragrance,R2_Using sunscreens that contain parabens as preservatives,R2_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R2_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R2_Using insect repellents with pesticides on the skin,R2_Breathing in Bisphenol A (BPA) particles from indoor dust,R2_Breathing air containing phthalates from indoor air fresheners,R2_Breathing in paraben particles from indoor dust,R2_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R2_Breathing in brominated flame retardants (BFRs) released from electronic devices,R2_Breathing air containing pesticides that have migrated from landfills,R3_Drinking water from plastic bottles that contain Bisphenol A (BPA),R3_Eating food with phthalates transferred from plastic packaging,R3_Taking pharmaceutical products that contain parabens used as preservatives,R3_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R3_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R3_Eating fruits and vegetables treated with pesticides,R3_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R3_Using deodorants with phthalates in their fragrance,R3_Using sunscreens that contain parabens as preservatives,R3_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R3_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R3_Using insect repellents with pesticides on the skin,R3_Breathing in Bisphenol A (BPA) particles from indoor dust,R3_Breathing air containing phthalates from indoor air fresheners,R3_Breathing in paraben particles from indoor dust,R3_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R3_Breathing in brominated flame retardants (BFRs) released from electronic devices,R3_Breathing air containing pesticides that have migrated from landfills
R_7K1fDTpiahJSpip,,,,,1,5,3,6,2,,,4,,,,,,,2,3,,5,,,,,,1,6,,,,,,,4,,,2,,,,,,,,,,3,5,4,1,6,
R_1uBw4qCNTxpu4bo,3,,,6,1,,,,,4,2,,,,,,,5,,6,1,,,,,,,,,3,,4,2,5,,,,,,,,6,3,4,5,,,,1,,,,2,
R_5dWl4F6g0LWrSxm,,5,3,,4,,,,,,,,,2,,6,1,,,,,5,,2,,,3,,,1,6,,,,,4,2,,,,,,3,4,,5,1,,,,6,,,
R_7d9LJMElavXEoKb,4,,,3,2,1,,,,,,,,6,5,,,,,1,6,,,,,,,,4,,2,,,5,3,,,,,,,,5,6,2,4,,3,,,,,,1
R_5JCNTQnM3Kg4P5Z,,,,2,,,,,,3,,,,,6,1,5,4,,6,2,,,,,3,1,,,4,5,,,,,,6,,,,1,3,4,,,,5,,,2,,,,
R_6eK6dYn3e4iFlGt,,5,4,3,,,,,,,,,6,,,2,,1,6,,,,1,,2,,,,,5,,,3,,4,,,,,,,6,,5,2,1,3,,,4,,,,
R_6PAMCi10s3wxg3x,2,3,,,1,,,6,,,,,5,,,,,4,,,,,,,,,3,2,,6,,5,1,,4,,,,4,6,,2,3,,,,5,,,,,1,,
R_6WCzn9UNtn9yc01,,4,,1,2,6,,,,,,,,3,,5,,,,,1,,,,,,,,,4,3,,6,,2,5,1,,,,,,5,6,2,4,3,,,,,,,
R_7hLOoZMHppgxOG5,,,,,,6,,,,,4,,5,,,3,1,2,6,4,,2,3,,,,,,,,,5,1,,,,,,6,,,,2,3,4,1,,5,,,,,,
R_6XKZRTQbM8WbKkV,3,,,2,6,,,,,,,,4,5,,,,1,,2,6,,,1,,,,,,,,,5,4,3,,,,,,,,3,5,4,2,6,1,,,,,,
R_7Uk5SuXewZgaJjP,,,3,,,,,,,,,2,5,,,6,4,1,,5,,3,,2,,6,,,,,,4,1,,,,2,,,,1,,4,,6,5,3,,,,,,,
R_5Qll8wPXn36mflA,,,1,,,,,,,,2,,4,,3,,6,5,3,6,,,2,,,,5,1,,,,4,,,,,,,,2,,5,6,3,,,,1,,,,4,,
R_5QLvxE5PsThM1rm,,6,1,,,,,,,,,,5,,4,2,,3,1,,,,,4,,,,3,6,,,2,,,5,,,,,2,6,,1,4,5,,,3,,,,,,
R_5WCNc08vhk2WHsz,2,4,,3,,6,,,,5,,1,,,,,,,,,4,,5,,3,2,1,,,,,,,,,6,,,,,,,,,,,6,,3,1,2,4,5,
R_1JO91wNjBxl18at,,4,,5,,3,,,,,2,,,,6,,,1,1,,,,5,,,,,,,,3,6,,2,4,,,,6,,,,2,4,5,3,,1,,,,,,
R_51LYGlDVFwmBPew,,,3,,,,5,,2,,,,6,,,,1,4,4,5,,,2,,,3,,1,6,,,,,,,,,,,3,,6,,,,,,5,,2,4,1,,
R_1P6gmAh1yGrVRyJ,,3,6,4,5,1,,,,,,,,,,,,2,1,,,,,,4,,2,3,,,6,,,5,,,,,,,,,,5,,,6,3,,2,1,,4,
R_1hmwSmfBJD2uUrn,4,6,,,2,3,,,,,,,,5,,,,1,,,,2,,,6,,,,,1,3,,,4,5,,,,2,,,,,5,6,3,4,,,,1,,,
R_1Pt45gVgllJ0D3e,2,,,,,1,,,,,4,,5,,,3,,6,,1,,5,,,3,,,,,,,4,6,,2,,,,6,,3,,,2,4,5,,1,,,,,,
R_6cnDu71dCJSak7v,,,,,,,,,,,,,4,2,6,3,5,1,3,4,6,1,5,2,,,,,,,,,,,,,,,,,,,4,3,6,1,2,5,,,,,,
R_69ebw9FqFLmxJFT,2,5,,1,3,,,,,,,,,6,,,,4,,,,,,,6,,,4,5,,1,,,2,3,,,,3,,,1,,5,4,,,2,,,6,,,
R_7ATbht1WmRFsrvj,2,3,,,,,,5,,,,,,4,1,6,,,,,,2,,,4,,6,5,,1,3,,,,,,,,5,,6,1,,,,,4,,,,,,3,2
R_7GdgPb3y18NKfwh,,,,,4,1,,,,,,2,6,,,5,,3,5,1,4,2,,,,,,,6,,,,3,,,,,,,,,,4,6,5,3,,,,1,,,2,
R_3GZC4xTbw1EjYR0,,,,4,1,5,,,,,,3,,6,,,,2,3,1,6,,,,,4,,,5,,2,,,,,,,,,,,,4,,1,5,,,,,6,2,3,
R_7qUicmuVxoNqvVn,,,,5,,6,,,,2,,1,,4,,,3,,,1,,,5,,3,,4,,,,,,,2,,6,2,,6,,,,,3,,,4,,1,,5,,,
R_1wc3M8jyIL1PL3G,,,5,,2,3,,,,,,,,,4,,6,1,,,,2,,,,,6,,,3,4,1,,5,,,5,4,,,,,6,2,,1,3,,,,,,,
R_3GyP56qlsumDlyp,,,,,1,2,,,,,,6,5,,,,4,3,,2,,1,,,,3,,,,,,4,6,5,,,5,,2,,,,3,,1,4,6,,,,,,,
R_5YldLlRaiI9dTSM,3,1,,,5,2,,4,6,,,,,,,,,,,,6,4,,,,,,,1,3,,5,,2,,,,,,,,,2,,,4,,,5,,1,,6,3
R_6R4SCKxcHB0F5Aw,,2,,1,,,3,,,4,,6,,5,,,,,2,,,,,3,,6,,,5,,,,4,,,1,,,5,,3,,,,6,,,,1,,,4,2,
R_3SpqmYTEA4FFAtP,1,2,5,4,,3,,,,,,6,,,,,,,,,,,2,,5,3,4,,,,,1,,6,,,,,,,,,,,,1,5,,2,,3,,6,4
R_7HqMCsGCntSHp26,,3,,6,4,1,,,,,,2,,,,,,5,1,,5,,,,4,2,3,6,,,,,,,,,,,,,,,,,,,6,,5,2,1,3,4,
R_5MhsycgAkiAAOZz,,,,6,1,3,4,,5,,,2,,,,,,,5,,3,,,,,,,4,2,,,,,,6,1,,1,,,,,,2,,,,,6,3,4,5,,
R_3vhTnduq0Nl9LyC,,,,,6,2,3,,,5,,4,,,,,,1,5,,,1,,,,6,2,,,,,3,4,,,,,2,3,,,,,,,,6,,1,,,5,4,
R_3fxyZDGNPRny34Y,2,3,1,4,,5,,,,,,,,6,,,,,,,,,2,,1,,,4,6,,5,,,3,,,,,,,,,,5,6,,,4,,,2,,1,3
R_14IQh7WrnXXlC7T,,,,1,,5,,,,,,,2,3,4,,,6,3,1,,,,,2,,,6,,4,,,,,5,,,,6,,3,,,1,5,,4,,,,,2,,
R_3QJWfNq3mlCgxMu,1,,,,,2,,5,,,,,,4,3,,,6,,2,,5,6,,,,,,4,,3,,,1,,,,,5,,,,3,,2,6,,4,,,,,1,
R_6yqrAaK7UCdhZ5u,3,,5,4,1,,,,,,,2,,,,,,6,,,,,,1,5,3,2,4,6,,,,,,,,,1,,,,,,,,,,,3,2,5,4,6,
R_3aFS6j3n7Sywjk8,,2,,,,,,,,4,,1,6,3,5,,,,,,,2,1,,5,,,,6,,,,,,3,4,6,,5,,,2,,3,4,,,,,,,1,,
R_3WSBCu4aTQChYvx,5,,4,,3,,,6,,,,,,,,,1,2,,2,,1,,6,,,,,,3,,4,,5,,,,,,,,,6,,5,3,4,,2,,1,,,
R_8q833o80U6w1ehB,,,,,6,,,,,,,,2,5,3,4,,1,,,3,,,5,,,2,1,,4,,,,,6,,1,2,,5,,,4,3,,,6,,,,,,,
R_7d79kydTzc59Ci8,,,,4,2,1,3,6,,,,5,,,,,,,,4,1,,,,,,3,2,6,,,5,,,,,1,,,,,,,,,,,,5,,4,3,2,6
R_60JhznVJQyLZ4TX,5,,,4,,2,,,,6,,1,,,,,,3,,,4,,6,,1,3,2,,,,5,,,,,,,4,,,,,,,,,3,,,6,5,2,1,
R_7LxDRRvLzdKp2fL,3,,,2,1,4,,,,,,,6,,,,,5,,1,,,,,,,,,6,,,5,3,2,4,,,,6,,,,1,5,4,3,,2,,,,,,
R_6DSToD0Se8irUlm,,,,,6,5,,,,,4,2,,3,,,,1,,,6,,,,,3,4,5,,,,,2,1,,,4,3,,2,,,6,,,,,,1,,,,5,
R_1xSl7tKJWoTGlcR,,,,1,6,2,,,,,,,,,5,4,,3,3,2,,,,,,6,,,5,,1,,,,4,,,,3,,,,1,,2,4,,5,,6,,,,
R_6V3JrWCblRnkBrh,,,,3,1,4,,,,,5,,,,,,6,2,,6,4,,,,,,,,,5,1,,3,2,,,1,,,,,,4,6,5,2,,,,3,,,,
R_7eqvkjmFy3B9tNR,1,6,3,2,,,,,,4,,,,,,,,5,,,,,,,,6,,,,,2,4,3,5,1,,,,,,2,1,4,,5,,3,6,,,,,,
R_3AjlkYeLUgzdSmt,5,,,6,,,,,,,4,,2,,3,,,1,,3,,,6,1,,,4,,,2,,,,5,,,,,2,,,,4,6,,5,,,,1,,,3,
R_3pVIc8nt9jUASoF,,,,,3,6,,,,,,2,,,5,4,,1,,6,5,2,,,3,,,,,,1,4,,,,,2,,,,,,,6,4,5,3,,,,,,1,
R_3PUgLnx8yXzM6YH,5,,,2,3,1,,,,,,4,,,,,,6,,2,1,,,,4,,3,,,,,,6,5,,,,,,,,,,5,,4,3,,6,1,,,2,
R_1iEWhdTQcGSDiFh,5,4,,6,3,2,,,,,,,,,,,,1,,,,,,,6,,,,,4,1,5,2,3,,,,,3,,,,,6,5,1,4,,,,,,2,
R_7pOegfUXPR49pHH,6,,,,,3,,,,,,,4,,2,1,5,,,,1,3,4,,,,,,2,5,,,,,,6,,3,,,,,5,6,4,2,,,,1,,,,
R_1bIRujGHunXIsGz,,,,,,,,,,,,,5,1,6,4,2,3,2,3,4,,1,,,,,6,,5,,,,,,,,,,3,,5,1,4,2,,6,,,,,,,
R_6RsHyhlRBxrThX9,,,,5,1,3,,,,,,,,4,,6,,2,6,,1,,,,,,,,4,3,5,,2,,,,,3,,,,,6,2,5,4,,,,,,,1,
R_7GxMSgO8dnwXYlK,,1,6,,,3,,,4,,,,5,2,,,,,6,,,1,,,3,2,,5,,,,,4,,,,,,,,6,,,,,,5,4,,,,2,3,1
R_23dMHGvc1b2TH6q,4,,5,,,3,,,,,,,2,6,,,,1,,1,,3,4,,,,,,,,,,2,5,6,,,,,,,,1,2,5,4,6,3,,,,,,
R_665tYUkNUAL4mb2,,4,,3,,1,,,,,,,,6,,5,,2,4,,,,,,,2,6,,,5,3,,1,,,,,,4,,1,,5,,,2,6,,,,,,3,
R_6NmHkkVEuceqIAa,4,5,,1,2,3,,,,,,,,,,6,,,,,,,,,,,,,6,,4,5,3,,2,1,,,5,,,,1,6,4,3,,2,,,,,,
R_6CrHF48mYQgVN65,,3,,,2,,1,,,6,,,,,5,,,4,3,,,1,,,,4,2,,6,,5,,,,,,,,2,,,6,,,,,,4,,5,,3,1,
R_7xPicICq91ZKDzC,4,,,1,5,,,,3,,,6,,,,,,2,,1,,,,5,,2,,6,,,3,,,4,,,,,5,,,,3,,,,6,,,4,1,,2,
R_5eyHrBpsIRhSlga,,4,5,2,1,6,,,,,,,,,,,,3,,,,,,,,,,,2,,6,4,5,1,3,,1,,,,,,3,5,2,6,,4,,,,,,
R_7HozcZHcGrS2VFn,2,4,,,,5,,,,3,,1,,,,,,6,,,2,5,1,,,6,,,3,,,4,,,,,,,,,,,1,,2,,,,3,,6,5,4,
R_5f3wzd9ZJ7plgzf,,,,5,,,,,,,3,,6,,,4,2,1,,,2,,1,,6,,,5,,4,,,3,,,,5,4,,,,1,,6,2,,,,,3,,,,
R_1p9cGQFJycc3KW1,,1,2,,5,,4,,,6,,,,3,,,,,6,,,,,5,,,,,,4,,,1,2,3,,,,,5,,,,3,1,,4,,6,,,,,2
R_59jB06sCGEMs7EB,,4,,5,3,2,,,,,,1,,,,,,6,,,3,,,,,,,6,4,,1,,2,,5,,5,,,,,,1,6,3,,,,,4,,2,,
R_5v7wSSqI0zUc264,,,3,,1,6,,2,,,,,,,,5,,4,6,,,3,,,,,,2,5,,1,,4,,,,,2,,,,,4,,5,,,6,,3,,,1,
R_53YmNdo0adKoIVj,,1,,2,4,3,,,5,,6,,,,,,,,2,,1,,,,6,3,,,,,,5,,,,4,,,,,,,,,,2,,6,4,,3,1,5,
R_1D7AB4jyJjyAFRn,,5,,1,,2,,6,,,,,,,3,,,4,2,,6,,3,,,,,,,,1,,,5,4,,,,,,,,1,,3,2,6,5,,4,,,,
R_7jePo6gvKFJSvZv,,,,2,,1,3,,4,6,,5,,,,,,,3,1,4,,,,,,,,,,,,2,5,,6,,,,,1,,,5,,,6,,4,3,,,2,
R_5R2hCvrsksQAfR1,,,,2,,,3,5,4,1,,,6,,,,,,,1,4,,,5,,,,,,3,,,,,6,2,2,,,,5,,,,,,6,,,3,4,1,,
R_1LO30jSOHi3M7Tl,2,1,,,,,,,,6,,5,,,3,,,4,,,6,2,5,,4,,,,,,3,,,,1,,,,,,,1,,5,6,,4,,,3,,2,,
R_50Zq0hK1Usem0a7,5,,,1,,,,,,,,4,,6,3,,,2,,,5,,4,3,,6,2,,,,1,,,,,,,3,,,,,5,,,4,6,,,,,2,1,
R_1q11hWDERTtcdmV,,,,6,3,5,,,,,,2,4,,,,,1,,5,,,,,,3,,,4,,,,2,1,6,,2,,5,,,,3,,6,4,,,,1,,,,
R_1ROL4m2WMlgKHH8,4,,,,2,5,,,,,,,,,,3,6,1,,,,4,,,,,6,,3,5,1,,2,,,,,4,6,,,,2,5,,3,,,,1,,,,
R_3rHeTYB6QqvJLNj,,,1,3,,,,4,,,,2,5,,,6,,,6,5,,,,,1,,3,,,,,,2,,,4,,,,,5,4,,,,2,6,,,1,,,3,
R_6lk6seLp5iZj5rX,,5,,3,,6,,,4,,,1,,,,,,2,,,4,,1,,3,,,,,,,,6,2,5,,4,,,,,,,5,,3,1,,2,6,,,,
R_1BbL1kAatenkvuM,6,5,,3,,,,,,,,4,1,,,,2,,,,1,,,4,,2,,5,,,,,6,3,,,,,,,2,,5,,4,,1,,,6,,,,3
R_1PUDNJmu4ul2oCQ,3,,2,,,,,5,,6,4,,,,,1,,,,,,,2,5,1,,,,,,3,6,,,,4,,1,,6,,,,,5,,,2,,,4,,3,
R_65aSkMPoqCKaEDL,1,,,,,2,,,,6,,,5,,4,,3,,,2,,1,,,3,4,,,5,6,,,,,,,,,2,,5,,,,3,,,,,1,,6,,4
R_7v0vZZhj3dcNWO1,1,6,,,,4,2,,5,,,3,,,,,,,,,4,2,1,,,,,,,,6,,3,5,,,,,,,,,,5,,1,6,,,3,,,2,4
R_3mdRITMVIQnms2N,,3,,1,2,,,,6,,,,,,,5,,4,2,,,,,1,6,,,,5,,4,3,,,,,,,1,,,,,6,,3,,5,,,2,,4,
R_7D77ba6E5ZX2aJj,6,5,,4,,,,,,,,2,,,1,,,3,,,1,,6,,,,,,4,,3,2,,5,,,,,,,,1,4,6,5,3,,,,,,,2,
R_6qpz8kZLW83HCIU,4,,,,6,3,,,,,,2,,5,,,,1,,1,3,2,,,5,6,,,4,,,,,,,,,,,,,,,,1,5,,,3,,4,6,2,
R_3D5lJHP000iLLjN,6,,,,3,,,,,,,5,2,,,,4,1,,4,,3,,2,,,5,,,,,6,1,,,,,,1,,,,4,2,,5,3,,,,,6,,
R_6wnlDyZVW0P102o,,4,1,,,,,,5,,,,3,2,6,,,,4,,,5,,,2,,,,3,,,,,6,,1,,,,,3,4,,5,,6,,2,,,,,1,
R_7M3CX5B0Itu68Nh,6,5,,,4,3,,,,,,1,,,,2,,,,,,1,,,2,,,6,,,3,4,,,,5,,,1,,,,,5,4,,6,,,,2,,3,
R_5KBlLU15f6I9gOS,,,3,4,1,,,,,,,,,5,6,,,2,,1,,,,,,2,4,6,3,5,,,,,,,6,,,,,4,5,,,,,,2,,,1,3,
R_74MD4oYQswF4CmR,,4,,6,3,1,,,,,,,5,,2,,,,,,,,,,,,,5,6,4,,3,,1,,2,1,,2,,,,3,6,4,,,,,,,,5,
R_1khKt4kCszD3uxJ,4,,5,,,6,,,,,,1,,,,3,,2,,2,,6,1,,,,5,,,,,4,,,3,,,,,,,,5,6,,2,1,,3,,4,,,
R_3I5HtBBVibsA3W1,,,3,6,5,,1,,,,,,,4,2,,,,4,,,,,,,,,,3,,6,,,1,2,5,,5,,,,4,,1,3,6,,2,,,,,,
R_1g7wbAk2p64yq5b,1,,2,4,,,,6,,,,,,3,,,,5,,3,,,4,1,,,2,6,,,,,,,5,,,,,,,,3,,,,4,5,2,,6,1,,
R_6HCyBwIMqnv4SKB,6,,,,4,,,,,,,,5,,,2,1,3,,6,,2,,,,3,4,,,,,5,1,,,,,,6,,,1,4,,,5,3,2,,,,,,
R_4wF6ahdhtcuGAM6,,,1,,,,5,,,,,,,6,3,2,,4,,4,,3,,5,,6,,,,,2,,,,1,,6,,,,3,,,,4,2,5,1,,,,,,
R_62LwnAKZVIELqNB,,,5,,2,1,,,,,4,6,,,,,,3,3,5,,1,,,2,4,,6,,,,,,,,,,,,,,,,,6,,,,5,1,4,3,2,
R_774zqG4ZzF60NGx,,,,,,3,,,,4,,2,,1,5,,,6,4,3,,,,,5,,2,,,,6,,,1,,,,,6,4,1,,,3,,,5,,,,,,2,
R_58Gt3Emi2p36SWS,,,,,,,,,,,,3,4,2,6,5,,1,,5,4,2,3,1,,,,,6,,,,,,,,3,,,,,,6,2,4,5,,,,,,,1,
R_1F0zsm3gXd7zOOR,2,4,,,6,3,,,,,1,,,,,5,,,,,,1,,,2,,,4,,3,6,5,,,,,,,4,,,,,5,3,,,,,,1,,6,2
R_35iaHuF3YfEnVhD,,,,,3,6,,,,,5,,,,,4,2,1,,,,1,,,,6,,5,,4,3,2,,,,,3,6,2,,,,1,,5,,,,,,4,,,
R_6UYka0A1hi8J0aY,,,,,,,,,,,,,3,4,6,5,2,1,5,2,6,3,4,1,,,,,,,,,,,,,,,,,,,3,4,2,5,6,1,,,,,,
R_6CIA33aCleh9QIJ,4,,,,1,,,,,,,,2,,3,,5,6,,2,,4,,5,,,,,6,,,3,,1,,,,,5,,,,4,2,6,3,,1,,,,,,
R_1eKQ8AkXefiGgiU,,,,1,,,2,,,3,6,,,5,,,,4,3,,,,1,,,5,4,,,,,,,6,2,,,4,3,,,5,,,,,,1,2,,6,,,
R_53sepk3wXIZaLcu,6,,,,3,5,2,,,,,4,,,,,,1,,5,,,,,,6,,,,,2,4,3,,1,,,,3,2,,,,,5,4,6,,,,,1,,
R_6xxGsVzEAhqayDu,6,,,5,3,,,,,,,,2,,,4,1,,,4,6,,,5,,,,,,,,2,3,,,1,,,,,,,2,3,4,5,6,1,,,,,,
R_7VuH6NE2VulbN9D,,3,,1,,5,,4,,,,,2,,,,6,,5,,3,,,,6,,,,,,,,1,4,,2,,,,,1,,,,4,5,2,3,,6,,,,
R_7AwrSnnBYkcZgHf,,,,,1,,,,,,2,,5,6,,3,4,,6,4,,5,,,,3,,,,,,,1,,,2,,,1,,,4,3,,5,2,,6,,,,,,
